               Time | Epoch | Learning rate | Train loss | Validation loss | MAE_energy | MAE_energy_grad | GPU Memory (MB)
2023-01-25 16:16:26 |   162 |     3.000e-04 |    54.1375 |         63.9667 |    12.4662 |          3.9891 |            7361
2023-01-25 16:16:48 |   163 |     3.000e-04 |    50.2490 |         62.6025 |    12.7186 |          3.9164 |            7361
2023-01-25 16:17:10 |   164 |     3.000e-04 |    50.6213 |         61.6714 |    12.1024 |          3.8692 |            7361
2023-01-25 16:17:32 |   165 |     3.000e-04 |    53.6413 |         63.2448 |    14.6651 |          3.8943 |            7361
2023-01-25 16:17:54 |   166 |     3.000e-04 |    55.4317 |         60.6924 |    13.0111 |          3.8165 |            7362
2023-01-25 16:18:16 |   167 |     3.000e-04 |    44.8877 |         59.4829 |    12.0220 |          3.7891 |            7362
2023-01-25 16:18:39 |   168 |     3.000e-04 |    43.4755 |         58.4826 |    10.8074 |          3.7671 |            7362
2023-01-25 16:19:01 |   169 |     3.000e-04 |    43.7379 |         58.4484 |    10.9851 |          3.7592 |            7362
2023-01-25 16:19:23 |   170 |     3.000e-04 |    42.9111 |         57.9735 |    10.9837 |          3.7287 |            7362
2023-01-25 16:19:46 |   171 |     3.000e-04 |    43.0699 |         61.3497 |    19.3396 |          3.7403 |            7362
2023-01-25 16:20:07 |   172 |     3.000e-04 |    43.6222 |         57.9929 |    11.8032 |          3.7181 |            7362
2023-01-25 16:20:29 |   173 |     3.000e-04 |    43.0551 |         63.0173 |    22.8490 |          3.7295 |            7362
2023-01-25 16:20:51 |   174 |     3.000e-04 |    42.9611 |         57.4189 |    10.7487 |          3.7191 |            7362
2023-01-25 16:21:13 |   175 |     3.000e-04 |    42.7439 |         62.0079 |    20.9225 |          3.7124 |            7362
2023-01-25 16:21:35 |   176 |     3.000e-04 |    43.6253 |         63.4231 |    24.3248 |          3.7190 |            7362
2023-01-25 16:21:57 |   177 |     3.000e-04 |    44.1334 |         61.0963 |    18.6474 |          3.7057 |            7362
2023-01-25 16:22:19 |   178 |     3.000e-04 |    44.4215 |         63.1957 |    23.6510 |          3.7163 |            7362
