         6313134 function calls (6265562 primitive calls) in 8.094 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       66    0.003    0.000    0.003    0.000 {method 'detach' of '_io.TextIOWrapper' objects}
    10943    0.003    0.000    0.003    0.000 atoms.py:1926(_get_positions)
  565/265    0.003    0.000    0.404    0.002 <frozen importlib._bootstrap>:1002(_find_and_load)
      260    0.003    0.000    0.084    0.000 calculator.py:79(compare_atoms)
        1    0.003    0.003    0.289    0.289 surface.py:449(set_size)
      357    0.003    0.000    0.027    0.000 textwrap.py:414(dedent)
      341    0.003    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
     6346    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
     2519    0.003    0.000    0.011    0.000 _ufunc_config.py:434(__exit__)
     1643    0.003    0.000    0.008    0.000 {method 'all' of 'numpy.generic' objects}
      269    0.003    0.000    0.027    0.000 gratoms.py:23(__init__)
    17989    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
    17446    0.003    0.000    0.003    0.000 reportviews.py:177(__init__)
     5038    0.003    0.000    0.003    0.000 {built-in method numpy.seterrobj}
    12309    0.003    0.000    0.003    0.000 fromnumeric.py:3164(ndim)
     1198    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
     2519    0.003    0.000    0.014    0.000 _ufunc_config.py:429(__enter__)
     4117    0.003    0.000    0.023    0.000 <__array_function__ internals>:177(where)
     5289    0.003    0.000    0.003    0.000 neighborlist.py:988(get_neighbors)
       66    0.003    0.000    0.003    0.000 cif.py:728(autolabel)
       66    0.002    0.000    0.021    0.000 formats.py:864(filetype)
    24184    0.002    0.000    0.002    0.000 reportviews.py:866(<lambda>)
     3500    0.002    0.000    0.010    0.000 {method 'join' of 'str' objects}
     8192    0.002    0.000    0.004    0.000 base.py:1205(isspmatrix)
      247    0.002    0.000    0.201    0.001 <frozen importlib._bootstrap_external>:916(get_code)
       68    0.002    0.000    0.007    0.000 linalg.py:1903(pinv)
    15904    0.002    0.000    0.002    0.000 shape_base.py:19(_atleast_1d_dispatcher)
      192    0.002    0.000    0.006    0.000 coordinates.py:172(matching_sites)
       68    0.002    0.000    0.003    0.000 linalg.py:1470(svd)
     8197    0.002    0.000    0.003    0.000 core.py:6377(isMaskedArray)
     1198    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:87(acquire)
     2455    0.002    0.000    0.122    0.000 <__array_function__ internals>:177(isclose)
      738    0.002    0.000    0.023    0.000 arraysetops.py:138(unique)
     2076    0.002    0.000    0.002    0.000 {built-in method numpy.zeros}
    10843    0.002    0.000    0.002    0.000 multiarray.py:736(dot)
      207    0.002    0.000    0.647    0.003 relabel.py:6(relabel_nodes)
      338    0.002    0.000    0.006    0.000 atoms.py:333(set_cell)
      144    0.002    0.000    0.002    0.000 function_base.py:1295(diff)
       78    0.002    0.000    0.009    0.000 atoms.py:1836(get_scaled_positions)
       39    0.002    0.000    0.008    0.000 digraph.py:736(remove_edges_from)
     1175    0.002    0.000    0.067    0.000 numeric.py:2180(allclose)
     2246    0.002    0.000    0.011    0.000 arraywrapper.py:66(attr)
     5671    0.002    0.000    0.003    0.000 linalg.py:116(isComplexType)
       64    0.002    0.000    0.005    0.000 arrayprint.py:934(fillFormat)
       39    0.002    0.000    0.433    0.011 gratoms.py:277(__delitem__)
    12309    0.002    0.000    0.002    0.000 fromnumeric.py:3160(_ndim_dispatcher)
    10076    0.002    0.000    0.002    0.000 {built-in method numpy.geterrobj}
      300    0.002    0.000    0.038    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        2    0.002    0.001    0.002    0.001 {method 'readlines' of '_io._IOBase' objects}
      739    0.002    0.000    0.005    0.000 graph.py:289(__init__)
     1198    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:112(release)
      136    0.002    0.000    0.330    0.002 gratoms.py:150(copy)
     4995    0.002    0.000    0.003    0.000 multigraph.py:1004(<genexpr>)
     6538    0.002    0.000    0.002    0.000 reportviews.py:513(__iter__)
     7029    0.002    0.000    0.002    0.000 relabel.py:193(<genexpr>)
      156    0.002    0.000    0.007    0.000 dag.py:105(topological_generations)
     3181    0.002    0.000    0.006    0.000 function.py:1215(<genexpr>)
     2455    0.002    0.000    0.006    0.000 <__array_function__ internals>:177(result_type)
      494    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
     6273    0.002    0.000    0.009    0.000 {built-in method builtins.any}
     2496    0.002    0.000    0.002    0.000 graph.py:478(add_node)
       66    0.002    0.000    0.010    0.000 formula.py:144(__format__)
      624    0.002    0.000    0.002    0.000 numeric.py:1341(normalize_axis_tuple)
        1    0.002    0.002    0.005    0.005 eam.py:300(lines_to_list)
      545    0.002    0.000    0.002    0.000 atoms.py:450(new_array)
      310    0.002    0.000    0.005    0.000 numeric.py:1404(moveaxis)
        6    0.002    0.000    0.002    0.000 {built-in method posix.open}
      130    0.001    0.000    0.004    0.000 atoms.py:526(get_chemical_symbols)
       66    0.001    0.000    0.004    0.000 symbols.py:110(get_chemical_formula)
      879    0.001    0.000    0.001    0.000 {method 'sort' of 'numpy.ndarray' objects}
      285    0.001    0.000    0.006    0.000 cell.py:148(complete_cell)
     4893    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
       65    0.001    0.000    0.001    0.000 gratoms.py:224(<listcomp>)
     6922    0.001    0.000    0.001    0.000 atoms.py:1947(cell)
       66    0.001    0.000    0.086    0.001 cif.py:675(write_cif)
     1816    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     7652    0.001    0.000    0.001    0.000 fromnumeric.py:2399(_all_dispatcher)
      613    0.001    0.000    0.005    0.000 cell.py:61(new)
     2519    0.001    0.000    0.001    0.000 _ufunc_config.py:425(__init__)
     1816    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      168    0.001    0.000    0.219    0.001 relabel.py:224(convert_node_labels_to_integers)
    291/2    0.001    0.000    0.396    0.198 <frozen importlib._bootstrap>:659(_load_unlocked)
     1479    0.001    0.000    0.007    0.000 fromnumeric.py:51(_wrapfunc)
       66    0.001    0.000    0.081    0.001 cif.py:818(write_cif_image)
     1175    0.001    0.000    0.070    0.000 <__array_function__ internals>:177(allclose)
      291    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       64    0.001    0.000    0.003    0.000 coordinates.py:72(trilaterate)
      247    0.001    0.000    0.160    0.001 <frozen importlib._bootstrap_external>:1036(get_data)
     7392    0.001    0.000    0.007    0.000 formats.py:235(<genexpr>)
        1    0.001    0.001    0.001    0.001 graph.py:5(connectivity_to_edges)
     1462    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
    302/2    0.001    0.000    0.397    0.198 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
       65    0.001    0.000    0.005    0.000 neighborlist.py:908(<listcomp>)
      744    0.001    0.000    0.001    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       65    0.001    0.000    0.002    0.000 eam.py:641(<listcomp>)
    254/3    0.001    0.000    0.394    0.131 {built-in method builtins.exec}
     8192    0.001    0.000    0.001    0.000 misc.py:180(_datacopied)
     1122    0.001    0.000    0.006    0.000 fnmatch.py:25(fnmatch)
       66    0.001    0.000    0.004    0.000 cell.py:28(cell_to_cellpar)
      546    0.001    0.000    0.005    0.000 multigraph.py:291(__init__)
       65    0.001    0.000    0.003    0.000 neighborlist.py:909(<listcomp>)
      214    0.001    0.000    0.006    0.000 cell.py:189(complete)
     3230    0.001    0.000    0.002    0.000 _collections_abc.py:767(__contains__)
